date,AAPL,GOOG,META,JPM,MA,PFE,WMT,SBUX,GE,XOM,T,TLT,GLD,SPY
2016-11-01,25.681188583374023,39.08451461791992,129.1112518310547,55.32329940795898,100.20803833007812,21.104759216308597,19.90360450744629,44.23276138305664,126.1038589477539,57.428993225097656,15.119572639465332,104.99208068847656,122.7300033569336,183.190673828125
2016-11-02,25.7042236328125,38.3408432006836,126.78825378417967,55.09067153930664,99.29151153564452,20.805883407592773,19.946683883666992,44.63716125488281,124.40091705322266,57.29167938232422,15.041000366210938,105.4489288330078,123.63999938964844,182.0880889892578
2016-11-03,25.42870330810547,38.01314163208008,119.6397705078125,54.850040435791016,99.08147430419922,20.303224563598636,19.998380661010746,43.617713928222656,123.4839859008789,57.43585205078125,15.148520469665527,104.63951110839844,124.3000030517578,181.2546539306641
2016-11-04,25.19949531555176,38.007659912109375,120.38752746582033,54.352725982666016,98.36544799804688,20.377944946289062,19.863391876220703,44.44338607788086,124.18264770507812,57.37405776977539,15.094761848449709,105.57711029052734,124.38999938964844,181.0549468994141
2016-11-07,25.562992095947266,39.0301513671875,121.7833251953125,56.05324935913086,101.16277313232422,20.636064529418945,20.04146194458008,45.909400939941406,127.98145294189452,58.66475296020508,15.222963333129885,104.67955017089844,122.1500015258789,185.0485382080078
2016-11-08,25.71348762512207,39.428672790527344,123.84711456298828,56.17355728149414,100.91455078125,20.581186294555664,20.04433250427246,46.01891708374024,128.4617919921875,59.087249755859375,15.297405242919922,104.2547607421875,121.63999938964844,185.88194274902344
2016-11-09,25.671802520751957,39.16930770874024,122.81023406982422,58.75642395019531,101.3823471069336,22.03558349609375,20.420583724975582,45.98522186279297,129.37872314453125,59.7383041381836,15.483506202697754,99.83103942871094,121.55999755859376,187.85264587402344
2016-11-10,24.95638656616211,38.03459167480469,120.4373779296875,61.483699798583984,99.76889038085938,22.9754581451416,20.503875732421875,45.1342658996582,132.78457641601562,60.29240417480469,15.12371063232422,98.35645294189452,119.75,188.3214874267578
2016-11-11,25.104562759399418,37.60863876342773,118.6627197265625,61.51577758789063,99.88345336914062,22.35802459716797,20.457916259765625,45.43757629394531,134.09449768066406,59.33660125732422,15.098894119262695,97.80349731445312,117.0999984741211,187.88742065429688
2016-11-14,24.474809646606445,36.71384048461914,114.73455047607422,63.77779769897461,96.5610122680664,22.213956832885746,20.24538803100586,45.68190383911133,133.2212371826172,59.06649017333984,14.941743850708008,97.21845245361328,116.11000061035156,188.0349884033203
