date,BlackLitterman,EqualWeight,MaxSharpe,MinVariance,RiskParity,SPY
2020-06-30,0.9999999999999999,0.9999999999999998,1.0,1.0,1.0,1.0
2020-07-01,1.0153447143626122,1.004266763218402,1.0002106962858184,1.0017314033160647,1.0013036650721492,0.9981084169906445
2020-07-02,1.0155165219376154,1.0083738545930436,1.001065684363456,1.0062060911842505,1.0045284364886993,0.9981084169906445
2020-07-06,1.0358484302044575,1.0224685647732992,1.009258159108457,1.0091747429946432,1.0121279191449775,1.0248083863242146
2020-07-07,1.0346153038119308,1.0174149386249074,1.0192434011881295,1.0220524963619384,1.0159810907187934,1.0216283324845403
2020-07-08,1.0430085679543977,1.0208287710479085,1.023489054962849,1.0186451941922037,1.017235342497077,1.0454222025639608
2020-07-09,1.0432024327430212,1.0142347321515672,1.0288561356251238,1.0232875447959133,1.0175506202568898,1.0499177706982092
2020-07-10,1.0530356962318808,1.0285486025587476,1.0308181892848167,1.031212835720419,1.0246921219098017,1.0517542365518433
2020-07-13,1.038696400611726,1.0244801999643078,1.0271869576949233,1.033758149570155,1.0239471830530606,1.0469023815075589
2020-07-14,1.0521152493540558,1.03648875566333,1.0394081428723627,1.0416681374149426,1.0320770329585789,1.0642271115279334
2020-07-15,1.0593052948849233,1.0477600526748865,1.0432111635352022,1.0434032570531238,1.0371113036999557,1.0715461031827498
2020-07-16,1.0537856202246143,1.0433508751917662,1.0361428367355006,1.0427950026398252,1.0341691792909702,1.0583608260911221
2020-07-17,1.0553130144189096,1.0431459916537569,1.0387365264910082,1.0449650111314686,1.0354216907443345,1.0562225036650332
2020-07-20,1.071716673974832,1.0468564631414663,1.0493211585093403,1.0466220238175146,1.0388401513334728,1.078481421054204
2020-07-21,1.0663050335085598,1.053826540055463,1.0478008138606756,1.0551010088407018,1.0457769236213688,1.0635967841801057
2020-07-22,1.069624602535964,1.0610139318279337,1.056088031895508,1.0662901774850815,1.0545377214561071,1.0665844430883602
2020-07-23,1.0415236930324148,1.0491914491001164,1.046713965431325,1.0668574465322072,1.052349134559472,1.0180373896927142
2020-07-24,1.0358851953957071,1.0425564938667597,1.0466349356509215,1.0639892521094363,1.0502425528879282,1.0155153934832635
2020-07-27,1.0482002798385823,1.0461345033486809,1.0577778534517652,1.0684053460566851,1.0556537859608761,1.0395834757050102
2020-07-28,1.036682491949708,1.0470933841463,1.0570196410461747,1.0786007136845397,1.0606414347415916,1.0225053992491018
2020-07-29,1.048624865416084,1.0539669623738344,1.0637486182700138,1.0804815927184763,1.0656046853947738,1.042105471914461
2020-07-30,1.0488847859244737,1.044561774560283,1.0658566534970704,1.0764172600130424,1.060394066094798,1.054715023700377
2020-07-31,1.087045532103466,1.0542429241319327,1.0948533434612835,1.0770625411154044,1.0669718097099223,1.1651318570635296
2020-08-03,1.0916769555446812,1.055055761257879,1.1017162161107565,1.0753047416751065,1.0662768102196567,1.1944903277118413
2020-08-04,1.094489697821271,1.061899375400147,1.1157678766121146,1.0893465521737848,1.0776117178178677,1.202467033587811
2020-08-05,1.1019546849313975,1.0709112445406168,1.1188072390399366,1.087408141680959,1.0813945765480977,1.2068256673554307
2020-08-06,1.13184113263028,1.0808796309454214,1.1340207949100771,1.0929193915887279,1.090669751305309,1.2489309675653568
2020-08-07,1.1278664273944226,1.080906650742792,1.1211500466391637,1.0886648466624653,1.0858321342615398,1.2205355018013522
2020-08-10,1.1286776997028651,1.0885699644041968,1.1240952542269416,1.0906281245892067,1.088591206592804,1.2382759285008582
2020-08-11,1.1123809201446204,1.0825469788763828,1.096662545688569,1.0674148508947603,1.0696811575161103,1.2014497700704572
2020-08-12,1.1293118875921768,1.0883360187796878,1.1043767666416153,1.0693481568645926,1.0706056059232318,1.241379058708871
2020-08-13,1.1349756981212586,1.0863395531298035,1.113171087141186,1.071097384299313,1.0722380582370499,1.2633484822521044
2020-08-14,1.1341040976375332,1.086197141395183,1.1119324899457463,1.0698671968836142,1.0705036712583802,1.2622225297641225
2020-08-17,1.13730137048882,1.086104495841183,1.1228429904962671,1.08086942067787,1.0768148828009485,1.2589271763292251
2020-08-18,1.1454617987071334,1.088284914341054,1.1286900509710238,1.084633279321473,1.081305234582944,1.2694175507446996
2020-08-19,1.141158670756086,1.0803480850680358,1.1159490743987064,1.069532416848354,1.067932992354178,1.27101002445416
2020-08-20,1.1578418910149544,1.0842742104869092,1.1258504188149163,1.0732104497752186,1.0731694966766983,1.2992134386958147
2020-08-21,1.1698321114166734,1.0887736211288863,1.1423715652037336,1.0743247763688648,1.0754018751152559,1.3661650719321807
2020-08-24,1.1850565889095601,1.1042028929117653,1.1459183079790634,1.07497852998852,1.081621084995833,1.3825046471832385
2020-08-25,1.1959034219035223,1.1078752592279573,1.141861098131042,1.0698413440478542,1.0815393580549524,1.3711632192402485
2020-08-26,1.2297253999104647,1.1153284681994737,1.1495499755661105,1.0728316447967414,1.0870618609739406,1.3898097307707233
2020-08-27,1.2179837177723887,1.1151796604932651,1.1477226470789703,1.071435510536488,1.0822260390626277,1.373195256559199
2020-08-28,1.2288035328501985,1.1281455661632853,1.1598736220988322,1.083383219004679,1.0935853712204366,1.3709709101610965
2020-08-31,1.230301065236363,1.1196848500540144,1.1686670200021076,1.0810723183699533,1.0908003051743236,1.417463432943713
2020-09-01,1.251444170822767,1.126671532681515,1.1992560368747862,1.0928988496861582,1.0992841383921008,1.4739249493214066
2020-09-02,1.2642196652859314,1.13903273888222,1.192558719259869,1.0960680183694567,1.1052207463518897,1.4433878128928814
2020-09-03,1.2069383969678515,1.1115466053648067,1.159580536342681,1.0835855962147205,1.0888437456432736,1.3278283428554942
2020-09-04,1.1878439405725407,1.104212862804565,1.1507369707501562,1.0740196564676827,1.0804766262319956,1.3287073842222077
2020-09-08,1.1416809263894876,1.078273202521841,1.1250965027386381,1.0638544678100645,1.0668832077192396,1.2392919042341994
2020-09-09,1.162547441897856,1.0883659930404554,1.141036767148806,1.0688778860555543,1.073783874599296,1.2887231501326075
2020-09-10,1.1368417882166124,1.0708201111464215,1.126595357139135,1.059389034019977,1.0639073570311042,1.2466515898638004
