risk_aversion,return,vol,AAPL,GOOG,META,T,JPM,MA,PFE,WMT,SBUX,GE,XOM,TLT,GLD
0.05,0.26369508883242465,0.2505564612494984,0.24999999984927535,0.1499999963175026,0.24999999928589983,0.0,0.0999999954864,0.24999999760814876,0.0,1.1386865460155737e-08,6.5907848326565e-11,0.0,0.0,0.0,0.0
0.07338996338110347,0.2636950887830886,0.25055646081166205,0.24999999984036114,0.1499999947348469,0.24999999916267324,0.0,0.09999999455948913,0.24999999729564393,0.0,1.4328949637241338e-08,7.803599254708019e-11,0.0,0.0,0.0,0.0
0.10772173450159415,0.2636950886857287,0.2505564599288252,0.2499999998341419,0.14999999137113199,0.24999999894129044,7.1350216594692e-12,0.09999999273802837,0.24999999675490636,0.0,2.02335474142708e-08,1.1981870304184576e-10,0.0,0.0,0.0,0.0
0.15811388300841894,0.2636950883920566,0.25055645732014037,0.2499999998119962,0.14999997882165444,0.24999999855738733,1.848610981873431e-10,0.09999998978167472,0.24999999601350809,1.4833081913594267e-10,3.635440921422552e-08,3.1347699405800526e-10,0.0,0.0,0.0,1.2701160389356562e-11
0.23207944168063888,0.2636950888573092,0.25055646017313216,0.24999999998074493,0.1499999847610467,0.24999999989807523,2.4975827412837002e-11,0.09999999938748025,0.24999999976574502,2.3293867204976836e-11,1.608538286226187e-08,3.186037030041976e-11,1.056759604996979e-11,1.0721020786399106e-11,5.335242446947713e-12,1.4771165151479115e-11
0.3406460345289805,0.26269010996260167,0.23697989319143353,0.24999999987094434,0.06378576624384423,0.24999999856476982,7.229443379080678e-11,0.09999999460786567,0.24999999616734742,5.962564902369065e-11,0.08621424429174329,1.2156491551604897e-10,0.0,0.0,0.0,0.0
0.49999999999999994,0.26194657593719844,0.22844562686749842,0.24999999979647372,1.4510732186291863e-07,0.24999999856548047,3.2223565651968443e-10,0.09999998619036259,0.24999999652090732,3.085557055704469e-10,0.14999987252766225,4.4996831014231e-10,7.101345231211874e-11,9.0369040980611e-11,2.8810577828276574e-11,2.0839121102980777e-11
0.7338996338110345,0.26194657262731147,0.22844559998857272,0.24999999986153915,3.85923639950586e-10,0.24999999841642057,1.3137555407139804e-10,0.09999985697130048,0.249999998642787,1.3431950382343437e-10,0.15000014496526862,1.642256198091967e-10,8.549623310101128e-11,1.0741764929113463e-10,7.754511895669666e-11,5.6380845151114556e-11
1.0772173450159415,0.26056704844541634,0.22229085927651915,0.24999999992778216,1.8893409810593802e-10,0.23146619653883757,6.421693811200992e-11,0.06813718088685007,0.24999999257814604,7.581545292012905e-11,0.20039662949220766,8.228341859123638e-11,4.018114032375763e-11,6.555413532398289e-11,5.088657845651535e-11,8.304700905671694e-12
1.5811388300841893,0.2568838961018572,0.20859393893731323,0.24999999971058892,1.3102583620721076e-09,0.15153334563699475,4.401333214343865e-10,0.09846951761634398,0.2499972019576928,6.724122794995558e-10,0.24999992995535278,5.491114984155455e-10,3.2229746326430975e-10,6.15236706036617e-10,7.644079297471488e-10,4.4916918458729674e-10
