horizon,n_obs,coef,tstat,pvalue,r_squared,ticker,scorer
1,735,-0.0012184514549687447,-1.5494890675263648,0.12126419756208234,0.003344155571129215,AAPL,lexicon
2,734,-0.0017726659793545528,-1.531899235624968,0.12554730218015978,0.0033708828605166774,AAPL,lexicon
3,733,-0.0024377002396300707,-1.8345708144403015,0.06656930636495682,0.004163336755039104,AAPL,lexicon
4,732,-0.0027351787259196608,-1.8656474116829764,0.06209071169502553,0.004034848649132172,AAPL,lexicon
5,732,-0.0034562030280045103,-2.218604128313749,0.026513668449468935,0.005131964039949755,AAPL,lexicon
1,735,-0.001195356889307477,-1.4320361373854298,0.15213347946784628,0.00286642746585708,AAPL,classifier
2,734,-0.0014565043109885899,-1.2097723641489024,0.22636625341713268,0.002022308970091924,AAPL,classifier
3,733,-0.0022497404415199387,-1.5796594710562561,0.11418487185433158,0.003150219793260578,AAPL,classifier
4,732,-0.0029427058427710876,-1.7994303074430835,0.0719506389936915,0.004147765849594087,AAPL,classifier
5,732,-0.0036336698349549567,-2.034375192182338,0.0419137811478086,0.005037797872837313,AAPL,classifier
1,705,0.0007200247132465506,1.0030796640366693,0.31582242571317354,0.0013117505555354514,MSFT,lexicon
2,705,0.00069797732669525,0.6687909192229649,0.5036288601705119,0.0005819602802136226,MSFT,lexicon
3,704,0.0001717794321635757,0.13487162747067133,0.892713372548264,2.4766826136390918e-05,MSFT,lexicon
4,704,0.000607114196218687,0.43369778955870064,0.664507911988413,0.00024678986633241973,MSFT,lexicon
5,703,0.002284333271116451,1.4123502759870128,0.15784684970370955,0.002802650240608884,MSFT,lexicon
1,705,0.0006963330534037444,0.900175899457175,0.36802664960112974,0.0010548982230462745,MSFT,classifier
2,705,0.0003216532008241071,0.28446107045737434,0.7760570635236111,0.00010626899110333099,MSFT,classifier
3,704,0.00016713398023467747,0.11604088969869239,0.9076201353797174,2.0161050566347427e-05,MSFT,classifier
4,704,0.0005341120294768561,0.33642943005898696,0.736547059570094,0.0001642505689746221,MSFT,classifier
5,703,0.0023685394518449176,1.2890813242947876,0.1973698154660355,0.0025918873703381085,MSFT,classifier
1,742,-0.001912886740385431,-1.1845673284193479,0.23618856115563147,0.001778835271373791,TSLA,lexicon
2,741,-0.001572943919073289,-0.686763888877004,0.49223152912078694,0.000607209626960814,TSLA,lexicon
3,740,-0.00023159782617525402,-0.07836609396796965,0.9375368436536775,8.493039082457798e-06,TSLA,lexicon
4,739,0.00036555957311373377,0.10955981100352918,0.9127584848940309,1.5757636712021572e-05,TSLA,lexicon
5,738,-0.0022394231168522748,-0.592784239709827,0.5533255564300155,0.0004532499454437122,TSLA,lexicon
1,742,-0.0017632871503312476,-0.9811052149624343,0.32654085902429486,0.0012943406444092531,TSLA,classifier
2,741,-0.0013677256478360795,-0.5408639459948261,0.5886013632027672,0.0003933262147749472,TSLA,classifier
3,740,0.0009119162143919473,0.2902957116680742,0.7715900192620075,0.00011288724151259366,TSLA,classifier
4,739,0.001183028266281833,0.33509564487502846,0.7375529380246079,0.00014132767287156067,TSLA,classifier
5,738,-0.0023486558034926564,-0.5823951105519143,0.5603005742034401,0.00042697171229288955,TSLA,classifier
1,704,0.0006408554040184169,0.8964567458610593,0.3700088718094432,0.0010695800227994434,JPM,lexicon
2,704,0.0014853835295778714,1.4690970021744851,0.14180648077046404,0.0028211926960041156,JPM,lexicon
3,703,0.002643216162339716,2.214763449314905,0.026776305224886377,0.00622160160986629,JPM,lexicon
4,702,0.002291795809335158,1.6416435942646648,0.10066388754693163,0.0035944221979868907,JPM,lexicon
5,701,0.0023635881149294837,1.4915061804873588,0.13582864977057893,0.0030159480871636557,JPM,lexicon
1,704,0.0005333847899433663,0.6928365672039406,0.4884121212139222,0.0006447265537595781,JPM,classifier
2,704,0.0014326271933158545,1.3167366744074784,0.18792690590663197,0.002283615834899444,JPM,classifier
3,703,0.002153490982900036,1.6390298934185454,0.10120703414237248,0.0035929603575233227,JPM,classifier
4,702,0.0014426657909581714,0.9425310922738571,0.3459208002943034,0.0012390981488157315,JPM,classifier
5,701,0.0016668502748098505,0.9897736995984348,0.32228474268127116,0.0013055814800447818,JPM,classifier
1,711,0.0004624668317781146,0.5948105875326912,0.5519700895944748,0.00048306290768673765,XOM,lexicon
2,711,0.001471375923582653,1.4118334589026662,0.15799900412690993,0.002533583501424186,XOM,lexicon
3,711,0.001870074720120141,1.4292631724183906,0.15292860672769873,0.00270741313221301,XOM,lexicon
4,711,0.001654387821024046,1.064727049611714,0.286999465620547,0.0016714561758441882,XOM,lexicon
5,711,0.0017746301887746792,1.0036529525861726,0.3155459215604124,0.0015079548868304204,XOM,lexicon
1,711,-1.1947982390425741e-05,-0.013626865133859667,0.9891276711816818,2.750444609844749e-07,XOM,classifier
2,711,0.000800957817119895,0.6973305658743519,0.4855959436037919,0.0006404400243731345,XOM,classifier
3,711,0.0013004207692580078,0.9014843710424734,0.36733083992167714,0.0011168006332000768,XOM,classifier
4,711,0.0011815339249222517,0.6892203738076723,0.4906845975042786,0.000727250422882908,XOM,classifier
5,711,0.0009798294640742855,0.49198981509825696,0.6227265435739736,0.00039214334893844516,XOM,classifier
